currency,description,link,listing_type,location,price,rooms,seller,seller_url,sq_meters,tags,title
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL En el corazón del histórico y vibrante Centro de Sevilla, se encuentra esta excepcional propiedad que combina elegancia, ubicación privilegiada y un enorme potencial para convertirse en la joya de la ciudad. Con 217 m² de espacio constru",https://www.idealista.com/inmueble/109317077/,venta,,740000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Piso en Puerta de la Carne - Judería, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL GILMAR te presenta este magnífico piso situado en la emblemática Avenida República Argentina, junto a Plaza de Cuba, en el prestigioso barrio de Los Remedios, Sevilla. Con una superficie construida de 291 m², esta vivienda combina elegan",https://www.idealista.com/inmueble/108381722/,venta,,989000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Piso en Plaza de Cuba - República Argentina, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL ¡Descubre esta impresionante casa adosada en el corazón del casco antiguo de Sevilla! Con una superficie construida de 197 m², este hogar se distribuye en cuatro plantas, todas comunicadas por un ascensor, lo que garantiza comodidad y ac",https://www.idealista.com/inmueble/98788921/,venta,,599000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Chalet adosado en Feria, Sevilla"
€,"Chalet Independiente en La Palmera de 350 m2 en una parcela de 770 m2 repartido en 2 plantas. Cuenta con 4 dormitorios, 3 baños y 1 salón. Tiene orientación SurEste, 5 plazas de garaje. DISTRIBUCIÓN: SÓTANO: Amplio sótano donde encontramos una zona de relax, juegos, y gimnasio, además de una sala de desahogo y donde",https://www.idealista.com/inmueble/106933701/,venta,,2150000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,Lujo,"Casa o chalet independiente en Reina Mercedes - Heliópolis, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL GILMAR presenta en exclusiva este piso en el barrio de Triana, Sevilla, junto a la Plaza de Cuba. Con una superficie de 164 m², esta vivienda ofrece una distribución óptima que incluye cuatro dormitorios y dos baños completos. La cocina",https://www.idealista.com/inmueble/107889332/,venta,,670000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Piso en Plaza de Cuba - República Argentina, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL **Ático en Venta con Vistas Espectaculares al Guadalquivir** Descubre este espectacular ático situado en la Avenida Concejal Alberto Jiménez-Becerril, donde la luminosidad y las impresionantes vistas panorámicas se combinan para ofrecer",https://www.idealista.com/inmueble/109370001/,venta,,700000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Piso en Parlamento - Torneo, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL Chalet Adosado en Centro Sevilla de 415 m2 en parcela de 191 m2 repartido en 3 plantas. Cuenta con 12 dormitorios, 4 baños En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 40 años. Cubrimos todas la",https://www.idealista.com/inmueble/102397226/,venta,,1100000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Chalet adosado en Hombre De Piedra, Plaza de la Gavidia-San Lorenzo, Sevilla"
€,"Impresionante Piso de 364 m² en Plaza de Cuba con Terraza, Vistas y Acabados Premium Exclusiva vivienda de lujo en Plaza de Cuba, Sevilla Ubicada en una de las zonas más emblemáticas y demandadas de Sevilla, se presenta esta espectacular propiedad de lujo, íntegramente reformada en 2023 con materiales de primera calid",https://www.idealista.com/inmueble/109578491/,venta,,3800000,,Engel & Völkers Sevilla,https://www.idealista.com/pro/engel-sevilla/,,Lujo,"Piso en Plaza de Cuba - República Argentina, Sevilla"
€,"Exclusiva CASA unifamiliar con garaje y ascensor en Los Remedios, junto a Plaza de Cuba En el consolidado barrio de Los Remedios, a escasos metros de la Plaza de Cuba, donde actualmente no existen viviendas unifamiliares en venta, se encuentra esta propiedad singular que representa una oportunidad excepcional para quie",https://www.idealista.com/inmueble/108671813/,venta,,1250000,,Engel & Völkers Sevilla,https://www.idealista.com/pro/engel-sevilla/,,,"Casa o chalet independiente en Plaza de Cuba - República Argentina, Sevilla"
€,"Magnífico piso junto Calle Álvarez Quintero!!! 205m2, 3 dor, 2 baños, exterior y muy luminoso",https://www.idealista.com/inmueble/108590128/,venta,,525000,,Inmobiliaria Sevilla 2000 Real Estate,https://www.idealista.com/pro/inmobiliariasevilla2000/,,,"Piso en Calle Conteros, Santa Cruz - Alfalfa, Sevilla"
€,"Inmobiliaria Suarez presenta en exclusiva un bonito y amplio piso ubicado en la codiciada zona de Nervión. Esta vivienda destaca por sus tres dormitorios amplios, equipados con seis armarios empotrados revestidos que ofrecen una excelente capacidad de almacenamiento. Su salón es muy luminoso y soleado, creando un ambie",https://www.idealista.com/inmueble/104505023/,venta,,550000,,Inmobiliaria Suárez,https://www.idealista.com/pro/inmobiliaria-suarez/,,,"Piso en Nervión, Sevilla"
€,"¿Estás buscando el hogar ideal para tu familia en Sevilla Este? Inmobiliaria Suárez, les ofrece este fantástico piso en exclusiva situado en pleno corazón de Sevilla Este, zona Emilio Lemos, ideal para aquellos que buscan comodidad y tranquilidad. Con una superficie construida de 89.62 m2. Consta de tres dormitorios c",https://www.idealista.com/inmueble/110328416/,venta,,220000,,Inmobiliaria Suárez,https://www.idealista.com/pro/inmobiliaria-suarez/,,,"Piso en Avenida de las Ciencias, Sevilla"
€,"¿Estás buscando el hogar ideal para tu familia en Sevilla? Inmobiliaria Suárez les presenta en exclusiva este magnífico chalet adosado ubicado en Santa clara, urbanización los Limoneros. Dispone de cuatro dormitorios (uno de ellos en la planta baja), dos cuartos de baño reformados con placa de ducha. Tiene una amplia",https://www.idealista.com/inmueble/109765330/,venta,,345000,,Inmobiliaria Suárez,https://www.idealista.com/pro/inmobiliaria-suarez/,,,"Chalet adosado en Santa Clara, Sevilla"
€,"Bonita y amplia casa de dos plantas más sótano en Sevilla Este, zona Alcalde Luis de Uruñuela, cinco dormitorios, cuatro armarios empotrado, salón independiente con chimenea, cocina ofi amueblada y equipada, dos baños uno de ellos en suite más un aseo en la planta primera, solería de mármol, gres y tarima flotante, air",https://www.idealista.com/inmueble/94220992/,venta,,440000,,Inmobiliaria Suárez,https://www.idealista.com/pro/inmobiliaria-suarez/,,,"Casa o chalet independiente en Alcalde L. Uruñuela - Palacio de Congresos, Sevilla"
€,"NO COBRAMOS COMISIÓN AL COMPRADOR ESPECIALIZADOS EN COLABORACIÓN INTERNACIONAL GILMAR te presenta una joya única en el corazón de Sevilla, en pleno Centro, junto al emblemático Real Alcázar de Sevilla y con unas vistas privilegiadas a la majestuosa Catedral de Sevilla. Este exclusivo piso de 155 m² construidos comb",https://www.idealista.com/inmueble/109475880/,venta,,1090000,,Gilmar Sevilla,https://www.idealista.com/pro/gilmar-sevilla/,,,"Piso en Santa Cruz - Alfalfa, Sevilla"
